url,title,price,condition,brand,store_address
https://jiji.co.ke/nairobi-central/computer-monitors/hp-series-5-27-527da-fhd-ips-monitor-8Ze4I0sqgQlEPfZNNeTDf4tO.html?page=1&pos=20&cur_pos=20&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=19,HP Series 5 27′′ 527da FHD IPS Monitor,"KSh 26,999",Brand New,HP,"Located Kimathi Street, Pioneer Building 4th Flr, Room 4.Next to Nation Centre Opposite Stanbic Bank"
https://jiji.co.ke/nairobi-central/computer-monitors/hp-17inch-monitor-square-baonF1SMYFQlZVZgaS7G5hGA.html?page=1&pos=23&cur_pos=23&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=22,HP 17inch Monitor Square,"KSh 3,200",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-series-3-pro-27-inch-fhd-monitor-327pe-ndghJHPf7NU2cY0iG1YbcISB.html?page=1&pos=3&cur_pos=3&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=2,HP Series 3 Pro 27 Inch FHD Monitor- 327pe,"KSh 26,999",Brand New,HP,TURKANA BUSINESS CENTER 1st FLOOR Shop A15 Moi avenue just few meters from MKU Tower.
https://jiji.co.ke/nairobi-central/computer-monitors/dell-monitor-24-inch-screen-framless-Bryr4UkNGvOcQTRn9ZPhNXzA.html?page=1&pos=6&cur_pos=6&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=5,Dell Monitor 24 Inch Screen Framless,"KSh 9,999",Refurbished,Dell,Old Nation House 1st Floor shop A14 Tom Mboya Street Opposite Fire station
https://jiji.co.ke/nairobi-central/computer-monitors/hp-monitor-z23-framless-screen-rf37UUBi40AF3mtnMvscwcYQ.html?page=1&pos=9&cur_pos=9&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=8,HP Monitor Z23 Framless Screen,"KSh 9,999",Refurbished,HP,Old Nation House 1st Floor shop A14 Tom Mboya Street Opposite Fire station
https://jiji.co.ke/mombasa-cbd/computer-monitors/hp-elitedisplay-e273q-monitor-mA2vUpslHrOyEhRzsxRodFz6.html?page=1&pos=12&cur_pos=12&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=11,HP Elitedisplay E273q Monitor,"KSh 19,000",Refurbished,HP,We are located behind Naivas Mwembe tayari Hilltop plaza Suites M26 and M27 HOTSPRINGS TECHNOLOGIES.
https://jiji.co.ke/nairobi-central/computer-monitors/hp-v28-28-inch-monitor-display-3840-2160-60-hz-2-hdmi-nu6KNXtqoC7pRSVwDOEDfvUQ.html?page=1&pos=15&cur_pos=15&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=14,"Hp V28 
28 Inch Monitor 
 Display (3840*2160)
60 Hz
2 Hdmi","KSh 23,000",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-p22h-g4-22-inch-monitor-edge-to-edge-22-inch-monitor-full-hDpIz9K0v6ba3hVw9Oqnjdry.html?page=1&pos=18&cur_pos=18&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=17,"HP P22h G4 22 Inch Monitor Edge to Edge
22 Inch Monitor
Full","KSh 9,100",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-series-5-524sf-monitor-jUzigIT5gJgWaud5jL9KPDk4.html?page=1&pos=21&cur_pos=21&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=20,Hp Series 5 524sf Monitor,"KSh 25,000",Brand New,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/17-tft-monitor-pBT6zMmYRiGNDdIHZ7zke19V.html?page=1&pos=24&cur_pos=24&ads_per_page=24&ads_count=4842&lid=IhxnhbbuShz10pMv&indexPosition=23,"17"" TFT Monitor","KSh 4,500",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-monitor-22inch-slim-fjCwtPpVFmI736ptHvVX2uyg.html?page=2&pos=1&cur_pos=1&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=0,Hp Monitor 22inch Slim,"KSh 7,000",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/lenovo-edege-to-edge-monitor-tHzOKZVeXhE4R05xBuy4qakN.html?page=2&pos=4&cur_pos=4&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=3,Lenovo Edege to Edge Monitor,"KSh 7,500",Brand New,Lenovo,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-p34hc-g4-wqhd-usb-c-curved-monitor-21y56as-l5SMMxEBU6yKzxwfn7bVNXDh.html?page=2&pos=7&cur_pos=7&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=6,"""HP P34hc G4 WQHD USB-C Curved Monitor 21y56as""","KSh 68,000",Brand New,HP,13965
https://jiji.co.ke/nairobi-central/computer-monitors/hp-series-5-524sw-24-inches-full-hd-monitor-white-dUQurhxrnnSKjIbQWwUexLY.html?page=2&pos=10&cur_pos=10&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=9,HP Series 5 524SW 24 Inches Full HD Monitor White,"KSh 20,999",Brand New,HP,Moi Avenue Stanbank House Next to Kenya National Archives Room 718 7th Floor
https://jiji.co.ke/mombasa-cbd/computer-monitors/dell-22-hdmi-monitor-dolDOHbantKsdOIYtxs0eLIO.html?page=2&pos=13&cur_pos=13&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=12,"Dell 22"" HDMI MONITOR","KSh 6,500",Refurbished,Dell,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/lenovo-thinkvision-27iinch-monitor-model-p27h-10-27inch-2tXv5duiApc4xwaVnNrJgLmL.html?page=2&pos=16&cur_pos=16&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=15,Lenovo Thinkvision 27iinch Monitor Model P27h-10 27inch,"KSh 23,000",Refurbished,Lenovo,Location: Along Tom mboya street  Opposite  Fire Station Pioneer Tom mboya street 3rd floor  room 30
https://jiji.co.ke/nairobi-central/computer-monitors/dell-34inch-monitor-model-p3421w-xhWGZxQtsRU8fEJE0CqxsbyH.html?page=2&pos=19&cur_pos=19&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=18,Dell 34inch Monitor  Model: P3421w,"KSh 54,999",Refurbished,Dell,Location: Along Tom mboya street  Opposite  Fire Station Pioneer Tom mboya street 3rd floor  room 30
https://jiji.co.ke/nairobi-central/computer-monitors/hp-23-inch-monitor-grMd7Fg8n0K4hMISzlzvWTnP.html?page=2&pos=22&cur_pos=22&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=21,Hp 23 Inch Monitor,"KSh 5,900",Refurbished,HP,"Nairobi , Moi Avenue, Rahimtulla Trust Building, 2nd floor, right wing, shop 34.opposite Bihi towers"
https://jiji.co.ke/nairobi-central/computer-monitors/hp-20inch-monitor-nAnA5MvmdV5FgvbLgYuEDS6X.html?page=2&pos=2&cur_pos=2&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=1,Hp 20inch Monitor,"KSh 6,000",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-23-inch-screen-led-lit-monitor-iAsd7XY4rK9feLWxU92B3a22.html?page=2&pos=5&cur_pos=5&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=4,Hp 23-Inch Screen Led-Lit Monitor,"KSh 5,800",Refurbished,HP,"Nairobi , Moi Avenue, Rahimtulla Trust Building, 2nd floor, right wing, shop 34.opposite Bihi towers"
https://jiji.co.ke/nairobi-central/computer-monitors/hp-display-monitors-utrES6YYzhGkoL97uwQi0waZ.html?page=2&pos=8&cur_pos=8&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=7,HP Display Monitors,"KSh 5,500",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-omen-27qz-gaming-monitor-2560-1440-165hz-2-hdmi-ports-display-63TwjRMV84PPYp5pXwtfkdWt.html?page=2&pos=11&cur_pos=11&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=10,"Hp Omen 27qz 
Gaming Monitor 
2560*1440 165hz
 2 Hdmi Ports,Display","KSh 39,999",Brand New,HP,Location: Along Tom mboya street  Opposite  Fire Station Pioneer Tom mboya street 3rd floor  room 30
https://jiji.co.ke/nairobi-central/computer-monitors/hp-series-3-pro-23-8-inch-fhd-monitor-d5YPBdF5bbWoXMAkGf4kfPbS.html?page=2&pos=14&cur_pos=14&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=13,"""HP Series 3 Pro 23.8 Inch FHD Monitor","KSh 22,000",Brand New,HP,13965
https://jiji.co.ke/nairobi-central/computer-monitors/hp-23-1080p-full-hd-led-backlit-lcd-monitor-black-jTB6TTQ7lzKCIa63NePWEcYF.html?page=2&pos=17&cur_pos=17&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=16,"Hp 23'' 1080p Full Hd Led-Backlit LCD Monitor, Black","KSh 5,800",Refurbished,HP,"Nairobi , Moi Avenue, Rahimtulla Trust Building, 2nd floor, right wing, shop 34.opposite Bihi towers"
https://jiji.co.ke/nairobi-central/computer-monitors/19-inches-dell-tft-monitors-6nRzlrWJUSmYgySvvXB0FYGT.html?page=2&pos=20&cur_pos=20&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=19,19 Inches Dell TFT Monitors,"KSh 3,800",Refurbished,Dell,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/22-inches-tft-monitors-Bc54fU7qYUYvWvFdl8ATqKPZ.html?page=2&pos=23&cur_pos=23&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=22,22 Inches TFT Monitors,"KSh 6,500",Refurbished,HP,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/hp-17-inch-square-screen-monitor-7uXZnURV9rywGD6tSRygCUXo.html?page=2&pos=3&cur_pos=3&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=2,HP 17 Inch Square Screen Monitor,"KSh 2,999",Refurbished,HP,Old Nation House 1st Floor shop A14 Tom Mboya Street Opposite Fire station
https://jiji.co.ke/nairobi-central/computer-monitors/dell-monitor-22-with-hdmi-kIXm1wkK2OBca6al6ZDCXImK.html?page=2&pos=6&cur_pos=6&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=5,Dell Monitor 22' With Hdmi,"KSh 5,000",Refurbished,Dell,Pioneer hse 3rd floor 312B
https://jiji.co.ke/nairobi-central/computer-monitors/lenovo-thinkvision-s27i-30-27-fhd-monitor-ByH2ZibLNdguJbHrhswdkQuN.html?page=2&pos=9&cur_pos=9&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=8,"""Lenovo ThinkVision S27i-30 27"""" FHD Monitor","KSh 23,000",Brand New,Lenovo,13965
https://jiji.co.ke/nairobi-central/computer-monitors/lenovo-edge-to-edge-monitors-tYcbp3O41R6KSp9FPRWQ7tDD.html?page=2&pos=12&cur_pos=12&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=11,Lenovo Edge to Edge Monitors,"KSh 9,500",Brand New,Lenovo,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/15-inch-touch-screen-monitor-for-pos-zk1rstWQ0ZCnpLyfLugbl7px.html?page=2&pos=15&cur_pos=15&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=14,15 Inch Touch Screen Monitor for Pos,"KSh 14,500",Brand New,Other,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/24-edge-to-edge-lenovo-monitor-9QkrtqOd4KaRLMyvegEcH9Qb.html?page=2&pos=18&cur_pos=18&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=17,24' Edge to Edge Lenovo Monitor,"KSh 10,000",Refurbished,Lenovo,Pioneer hse 3rd floor 312B
https://jiji.co.ke/westlands/computer-monitors/dell-ultrasharp-u3225qe-32-hdr-120-hz-thunderbolt-4-hub-monitor-yFQ1oZPmIFfSG5WiJiqSQU3I.html?page=2&pos=21&cur_pos=21&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=20,"Dell UltraSharp U3225QE 32"" HDR 120 Hz Thunderbolt 4 Hub Monitor","KSh 175,000",Brand New,Dell,Westlands
https://jiji.co.ke/nairobi-central/computer-monitors/asus-proart-display-pa278cv-professional-monitor-x44f5w14KEbMjXb3kW67yLZI.html?page=2&pos=24&cur_pos=24&ads_per_page=24&ads_count=4696&lid=sJuwp0tTOZpp4XAi&indexPosition=23,ASUS ProArt Display PA278CV Professional Monitor,"KSh 58,500",Brand New,Asus,Nyerere Rd
https://jiji.co.ke/mombasa-cbd/computer-monitors/dell-22-hdmi-monitor-dolDOHbantKsdOIYtxs0eLIO.html?page=3&pos=1&cur_pos=1&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=0,"Dell 22"" HDMI MONITOR","KSh 6,500",Refurbished,Dell,Not available
https://jiji.co.ke/nairobi-central/computer-monitors/lenovo-edge-to-edge-monitors-tYcbp3O41R6KSp9FPRWQ7tDD.html?page=3&pos=4&cur_pos=4&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=3,Lenovo Edge to Edge Monitors,"KSh 9,500",Brand New,Lenovo,Not available
https://jiji.co.ke/westlands/computer-monitors/dell-p3223qe-32-inch-2160p-uhd-led-lcd-professional-monitor-ixExdGsGNskF7grRdIzk3aO4.html?page=3&pos=7&cur_pos=7&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=6,Dell P3223qe 32-Inch 2160p Uhd Led LCD Professional Monitor,"KSh 133,000",Brand New,Dell,Westlands
https://jiji.co.ke/nairobi-central/computer-monitors/havit-gsc102-us-27-inch-curced-gaming-monitors-awm1UHdqt58qdN35KVbgOljV.html?page=3&pos=10&cur_pos=10&ads_per_page=24&ads_count=4983&lid=44iw7hWP51MXB8pk&indexPosition=9,"Havit Gsc102 Us 27 Inch Curced,Gaming Monitors","KSh 33,000",Brand New,HP,"Opposite bihi towers, Trust building , queen's mall wing ground floor shop no g8 ask for Dominic"
